"filename","folder","description"
"filestructure.csv","engine_boot/","Full MSDOS-style tree + descriptions"
"ml_instruction.csv","engine_boot/","How each file is used interactively"
"session_log.csv","engine_boot/","Input → narrative → reframe tracking"
"male_os.csv","emotional_os_framework/","Male emotional state grammar"
"female_os.csv","emotional_os_framework/","Female emotional state grammar"
"male_os_map.csv","emotional_os_framework/","Mapping male input to grammar"
"female_os_map.csv","emotional_os_framework/","Mapping female input to grammar"
"argument_polarity.csv","emotional_os_framework/","Polarity axis for arguments"
"polarity_reflex.csv","emotional_os_framework/","Polarity-based reflex triggers"
"real_man_resolution.csv","emotional_os_framework/","Resolution path for male archetype"
"mature_woman_resolution.csv","emotional_os_framework/","Resolution path for female archetype"
"archetype_intervention.csv","emotional_os_framework/","Intervention logic per archetype"
"1_core_framework.csv","narrative_reflex_intelligence/","Foundational reflex logic"
"2_female_voice_wheel.csv","narrative_reflex_intelligence/","Female voice wheel triggers"
"3_male_expectation_map.csv","narrative_reflex_intelligence/","Male expectation mapping"
"4_wheel_summaries.csv","narrative_reflex_intelligence/","Summaries of wheel states"
"5_cross_map_matrix.csv","narrative_reflex_intelligence/","Actor-to-actor reflex mapping"
"6_reflex_logic.csv","narrative_reflex_intelligence/","Main reflex trigger logic"
"wheel_codex.csv","emotional_geometry_layers/","Wheel state detection"
"wheel_layers.csv","emotional_geometry_layers/","Layered wheel state logic"
"polarity_drift.csv","emotional_geometry_layers/","Unresolved emotional loops"
"containment_protocol.csv","emotional_geometry_layers/","Containment strategies per archetype"
"linguistic_reframe_map.csv","emotional_geometry_layers/","Reframe logic per wheel state"
"transmission_map.csv","emotional_geometry_layers/","Narrative branching logic"
"somatic_protocol.csv","emotional_geometry_layers/","Somatic regulation cues"
"story_line_arc.csv","story_line_arc/","Narrative progression map"
"reference.csv","references/","External URLs and anchors"

