📗 Tab 2: Male Inner Voice Expectation,,,,,,,,,,,,,
,,,,,,,,,,,,,
Purpose: Defines what the male narrative expects or assumes in relational dynamics.,,,,,,,,,,,,,
M061,No emotional feedback,Control,“She’s content if she doesn’t critique”,Daily routine,Red,No,Performative,"Dinner, chores, parenting",“She’s not complaining”,"Flat tone, clenched jaw",Masculine defensiveness culture,Dismissive,High
M062,S.xual availability without discussion,Validation,“She’s close if she doesn’t need words”,Intimacy,Green,Yes,Performative,"Bedroom, silent initiation",“She’s still into me”,"Focused breath, dominant stance",Nonverbal intimacy ideal,Preoccupied,High
M063,Agreement on future plans,Direction,“She’s aligned if she doesn’t resist”,Life talk,Centre,No,Performative,"Retirement, relocation, parenting",“She’s on board”,"Controlled tone, upright posture",Masculine planning culture,Dismissive,Moderate
M064,No financial questioning,Autonomy,“She trusts me if she doesn’t ask”,Spending,Red,No,Performative,"Purchases, budgeting",“She lets me handle it”,"Tense shoulders, guarded tone",Financial control norms,Avoidant,High
M065,Emotional silence during stress,Strength,“She’s stable if she doesn’t react”,Crisis,Red,No,Performative,"Illness, job loss, family tension",“She holds it together”,"Locked jaw, stiff limbs",Stoic femininity ideal,Avoidant,High
M066,Shared humor without depth,Bonding,“We’re good if we laugh”,Jokes,Yellow,No,Performative,"Banter, distraction",“She’s fun”,"Smiling face, hollow tone",Surface intimacy culture,Avoidant,High
M067,No emotional probing during conflict,Safety,“She respects me if she lets me cool off”,Argument,Yellow,No,Performative,Post-conflict silence,“She gives me space”,"Controlled breath, distant gaze",Emotional privacy norms,Avoidant,High
M068,S.xual enthusiasm without emotional talk,Ego boost,“She wants me if she’s physical”,Intimacy,Green,Yes,Performative,"Touch, moaning, body language",“She’s into me”,"Focused gaze, clenched jaw",Porn-influenced intimacy norms,Anxious,High
M069,Agreement with decisions,Authority,“She trusts me if she follows”,Planning,Centre,No,Performative,"Budgeting, parenting, travel",“She defers to me”,"Upright stance, firm tone",Traditional masculinity,Dismissive,Moderate
M070,No emotional breakdowns,Simplicity,“She’s easy if she doesn’t cry”,Vulnerability,Red,No,Performative,"Grief, disappointment, overwhelm",“She’s not dramatic”,"Tight chest, flat tone",Emotional suppression norms,—,High
M071,Domestic support without reminders,Stability,“She’s reliable if she does it automatically”,Chores,Blue,No,Performative,"Laundry, dishes, tidying",“She just knows what needs doing”,"Efficient movements, tight jaw",Invisible labor norms,Preoccupied,Moderate
M072,Loyalty without emotional demand,Safety,“She’s mine if she stays quiet”,Relationship tension,Red,No,Performative,"Post-conflict silence, withdrawal",“She doesn’t make it worse”,"Guarded posture, shallow breath",Possessive loyalty culture,Fearful-avoidant,High
M073,Shared goals without negotiation,Direction,“We’re aligned if she agrees”,Future talk,Centre,No,Performative,"Retirement, relocation, parenting",“She’s on board”,"Controlled tone, upright stance",Masculine planning culture,Dismissive,Moderate
M074,Emotional praise without prompting,Worth,“She values me if she says it first”,Achievement,Green,No,Genuine,"Career wins, parenting moments",“She sees me without being asked”,"Soft eyes, relaxed chest",Encouragement culture,Secure,Low
M075,No emotional confrontation during stress,Peace,“She’s mature if she lets me be”,Overwhelm,Yellow,No,Performative,"Work burnout, family tension",“She doesn’t push me”,"Flat tone, distant gaze",Emotional avoidance norms,Avoidant,High
M076,S.xual consistency without emotional depth,Security,“We’re okay if we’re still physical”,Routine,Green,Yes,Performative,"Scheduled s.x, bedtime rituals",“We’re still good”,"Grounded breath, disengaged gaze",Intimacy-as-maintenance culture,Avoidant,High
M077,Agreement in public settings,Status,“She supports me if she doesn’t challenge me”,Social events,Yellow,No,Performative,"Dinner parties, family gatherings",“She backs me up”,"Upright stance, firm tone",Masculine pride norms,Preoccupied,High
M078,No emotional interrogation after conflict,Relief,“She forgives me if she doesn’t dig”,Post-argument,Red,No,Performative,"Apology, tension release",“She lets it go”,"Softened gaze, guarded breath",Emotional bypass culture,Preoccupied,High
M079,Shared laughter without emotional talk,Bonding,“We’re close if we joke together”,Humor,Yellow,No,Performative,"Banter, distraction",“She’s fun”,"Smiling face, hollow tone",Surface intimacy culture,Avoidant,High
M080,Emotional loyalty without external validation,Control,“She’s mine if she doesn’t share with others”,Disclosure,Red,No,Performative,"Secrets, emotional withholding",“She keeps it between us”,"Guarded posture, narrowed gaze",Possessive loyalty norms,Fearful-avoidant,High
M081,No emotional escalation,Peace,“She’s stable if she doesn’t react strongly”,Conflict,Yellow,No,Performative,"Arguments, tension spikes",“She stays calm”,"Tight chest, slow breath",Emotional suppression norms,Avoidant,High
M082,S.xual availability without emotional talk,Validation,“She’s close if she’s physical”,Intimacy,Green,Yes,Performative,"Touch, undressing, silence",“She still wants me”,"Focused gaze, clenched jaw",Porn-influenced intimacy norms,Preoccupied,High
M083,Agreement on parenting style,Control,“She trusts me if she follows my lead”,Parenting decisions,Centre,No,Performative,"Discipline, school choices",“She defers to me”,"Upright stance, firm tone",Traditional fatherhood norms,Dismissive,Moderate
M084,No emotional feedback during stress,Strength,“She’s mature if she lets me handle it alone”,Crisis,Red,No,Performative,"Illness, job loss, family tension",“She doesn’t interfere”,"Locked jaw, stiff limbs",Stoic masculinity culture,Avoidant,High
M085,Shared humor without emotional depth,Bonding,“We’re fine if we laugh together”,Jokes,Yellow,No,Performative,"Banter, distraction",“She’s fun”,"Smiling face, hollow tone",Surface intimacy culture,Avoidant,High
M086,No financial questioning,Autonomy,“She respects me if she doesn’t ask”,Spending,Red,No,Performative,"Purchases, budgeting",“She lets me handle it”,"Tense shoulders, guarded tone",Financial control norms,Avoidant,High
M087,Emotional silence during vulnerability,Strength,“I’m strong if I don’t express”,Pain,Red,No,Performative,"Grief, disappointment",“I’m fine”,"Locked jaw, shallow breath",Stoic masculinity culture,Avoidant,High
M088,Loyalty without emotional demand,Safety,“She’s mine if she stays quiet”,Relationship tension,Red,No,Performative,"Post-conflict silence, withdrawal",“She doesn’t make it worse”,"Guarded posture, shallow breath",Possessive loyalty culture,Fearful-avoidant,High
M089,Domestic support without reminders,Stability,“She’s reliable if she does it automatically”,Chores,Blue,No,Performative,"Laundry, dishes, tidying",“She just knows what needs doing”,"Efficient movements, tight jaw",Invisible labor norms,Preoccupied,Moderate
M090,Agreement in public settings,Status,“She supports me if she doesn’t challenge me”,Social events,Yellow,No,Performative,"Dinner parties, family gatherings",“She backs me up”,"Upright stance, firm tone",Masculine pride norms,Preoccupied,High
M091,No emotional interrogation after conflict,Relief,“She forgives me if she doesn’t dig”,Post-argument,Red,No,Performative,"Apology, tension release",“She lets it go”,"Guarded breath, softened gaze",Emotional bypass culture,Preoccupied,High
M092,Shared laughter without emotional talk,Bonding,“We’re close if we joke together”,Humor,Yellow,No,Performative,"Banter, distraction",“She’s fun”,"Smiling face, hollow tone",Surface intimacy culture,Avoidant,High
